sensor_type	dt	px	py	vx	vy	estimate_x	estimate_y	estimate_vx	estimate_vy	rmse_x	rmse_y	rmse_vx	rmse_vy	NIS_lidar	NIS_radar
L	1477010445400000	12.7743	2.23227	4.67842	1.94485	12.8409	2.01265	4.89464	1.42798	0.0700592	0.111714	0.145205	0.301843	4.83461	0.758842
R	1477010445450000	13.0075	2.33137	4.64258	2.01701	13.1041	2.10729	4.92486	1.50555	0.0706882	0.115042	0.149186	0.307439	4.83461	3.87041
L	1477010445500000	13.2388	2.43409	4.605	2.08981	13.3097	2.24456	4.8511	1.64713	0.0706936	0.116959	0.151683	0.310657	4.20787	3.87041
R	1477010445550000	13.4682	2.54047	4.56565	2.16317	13.5031	2.36244	4.73712	1.7426	0.0701784	0.11843	0.152087	0.313135	4.20787	12.6303
L	1477010445600000	13.6955	2.65053	4.52448	2.23703	13.7486	2.49193	4.71749	1.85587	0.0698943	0.119314	0.152961	0.314555	1.40318	12.6303
R	1477010445650000	13.9208	2.7643	4.48147	2.31134	13.9726	2.59217	4.67348	1.91257	0.0696024	0.120502	0.153774	0.316318	1.40318	0.560921
L	1477010445700000	14.1439	2.88179	4.43656	2.38601	14.2	2.75206	4.62539	2.06379	0.0693809	0.120676	0.154482	0.316426	2.13941	0.560921
R	1477010445750000	14.3646	3.00303	4.38974	2.46099	14.4466	2.85524	4.64106	2.11606	0.0696262	0.121214	0.156737	0.316958	2.13941	1.09479
L	1477010445800000	14.583	3.12802	4.34097	2.5362	14.6496	2.95447	4.58759	2.15471	0.069574	0.122325	0.158753	0.318203	1.92237	1.09479
R	1477010445850000	14.7989	3.25679	4.29021	2.61157	14.8816	3.09087	4.57386	2.2524	0.0698213	0.123207	0.161726	0.318954	1.92237	4.56046
L	1477010445900000	15.0122	3.38932	4.23744	2.68703	15.0889	3.28279	4.49422	2.43121	0.0699442	0.122944	0.163797	0.317988	3.23811	4.56046
R	1477010445950000	15.2228	3.52563	4.18263	2.76249	15.3067	3.42913	4.4316	2.52302	0.0702001	0.12255	0.165576	0.316839	3.23811	3.27322
L	1477010446000000	15.4306	3.66572	4.12575	2.83789	15.518	3.62493	4.35831	2.68966	0.0705158	0.121653	0.166891	0.314804	2.47691	3.27322
R	1477010446050000	15.6355	3.80957	4.06678	2.91315	15.7322	3.75141	4.31793	2.73438	0.0710128	0.120894	0.168584	0.313079	2.47691	0.589837
L	1477010446100000	15.8375	3.95719	4.00571	2.98817	15.9474	3.91622	4.26856	2.83615	0.0717959	0.120042	0.170488	0.311174	0.460044	0.589837
R	1477010446150000	16.0363	4.10854	3.94251	3.0629	16.1502	4.0667	4.18695	2.90392	0.072643	0.119215	0.171889	0.309373	0.460044	2.11693
L	1477010446200000	16.2319	4.26363	3.87716	3.13723	16.3459	4.27176	4.10259	3.05586	0.0734555	0.118299	0.172838	0.307149	1.80109	2.11693
R	1477010446250000	16.4242	4.42242	3.80966	3.21109	16.5571	4.42752	4.06362	3.12053	0.0747119	0.117401	0.174349	0.305017	1.80109	0.500966
L	1477010446300000	16.613	4.5849	3.74	3.28438	16.7329	4.61292	3.97046	3.2259	0.0755854	0.116572	0.175318	0.302817	1.12671	0.500966
R	1477010446350000	16.7983	4.75103	3.66817	3.35704	16.8994	4.78994	3.82426	3.30177	0.0760229	0.115807	0.175051	0.300657	1.12671	6.01021
L	1477010446400000	16.9799	4.92077	3.59416	3.42897	17.0647	5.02247	3.70588	3.46403	0.0761567	0.115615	0.174298	0.2985	2.42023	6.01021
R	1477010446450000	17.1579	5.09409	3.51797	3.50008	17.2388	5.1875	3.61896	3.51091	0.0762266	0.115328	0.173469	0.296363	2.42023	1.81683
L	1477010446500000	17.3319	5.27094	3.4396	3.57028	17.3957	5.38718	3.51684	3.60781	0.0760661	0.115341	0.172486	0.294302	0.759394	1.81683
R	1477010446550000	17.5019	5.45128	3.35907	3.63949	17.5559	5.55445	3.41806	3.6453	0.0758034	0.115181	0.171425	0.292252	0.759394	3.50286
L	1477010446600000	17.6679	5.63506	3.27637	3.70762	17.7392	5.70859	3.38301	3.66422	0.0757437	0.114712	0.170704	0.290288	0.546048	3.50286
R	1477010446650000	17.8297	5.82221	3.19151	3.77458	17.8884	5.90019	3.26036	3.72808	0.0755389	0.114295	0.169736	0.288371	0.546048	2.14623
L	1477010446700000	17.9872	6.01269	3.10453	3.84027	18.0575	6.10365	3.19376	3.80985	0.0754724	0.114015	0.168915	0.286463	0.47523	2.14623
R	1477010446750000	18.1402	6.20641	3.01542	3.90462	18.2087	6.30612	3.09997	3.88164	0.0753843	0.113839	0.16808	0.284585	0.47523	0.967761
L	1477010446800000	18.2888	6.40332	2.92421	3.96753	18.3316	6.5454	2.96545	4.00127	0.075052	0.11425	0.167051	0.282757	1.56779	0.967761
R	1477010446850000	18.4328	6.60333	2.83093	4.0289	18.4665	6.75368	2.85328	4.0646	0.0746672	0.114785	0.165996	0.280967	1.56779	0.727084
L	1477010446900000	18.572	6.80638	2.7356	4.08867	18.6064	6.91618	2.79199	4.06216	0.0742938	0.114723	0.165064	0.279199	1.55891	0.727084
R	1477010446950000	18.7064	7.01237	2.63825	4.14672	18.7521	7.12224	2.73005	4.11983	0.0740041	0.114664	0.16435	0.277465	1.55891	0.264563
L	1477010447000000	18.8359	7.22122	2.53893	4.20299	18.9347	7.28393	2.73538	4.10742	0.0743612	0.114167	0.164784	0.275951	3.04993	0.264563
R	1477010447050000	18.9604	7.43283	2.43767	4.25737	19.0292	7.48937	2.57451	4.14861	0.0742962	0.11364	0.164472	0.274527	3.04993	4.99361
L	1477010447100000	19.0798	7.64712	2.3345	4.3098	19.1244	7.74309	2.43109	4.25873	0.0740095	0.113443	0.163822	0.272925	1.65316	4.99361
R	1477010447150000	19.1939	7.86397	2.22949	4.36017	19.243	7.95258	2.34543	4.29974	0.0737626	0.11318	0.163335	0.271376	1.65316	0.237189
L	1477010447200000	19.3028	8.08329	2.12266	4.40842	19.3231	8.17117	2.21076	4.3489	0.0733607	0.112915	0.162652	0.269852	1.99587	0.237189
R	1477010447250000	19.4062	8.30497	2.01409	4.45445	19.4202	8.38399	2.11597	4.38721	0.0729484	0.11258	0.162076	0.268377	1.99587	2.38871
